=====PROGRAM SYMULACYJNY: WOJNY====
Autorzy: Kamil Gawlik, Sebastian Dorabia³a

Parametry przed rozpoczêciem symulacji: 

Data i czas uruchomienia symulacji: Wed Jun  9 14:49:49 2021

Rozmiar mapy:[40 x 40]

1:[2,2,1000,1,0]    <---- gdzie: [pozycja X armii, pozycja Y armii, liczba ¿o³nierzy, przynale¿noœæ armii, liczba przejêtych prowincji]
2:[38,38,1000,2,0]    <---- gdzie: [pozycja X armii, pozycja Y armii, liczba ¿o³nierzy, przynale¿noœæ armii, liczba przejêtych prowincji]


=========================================SYMULACJA

 Tura nr 1	         1:[2,3,1000,1,1]	         2:[38,39,1000,2,1]	
 Tura nr 28	         1:[3,5,1000,1,15]	         2:[36,37,1150,2,10]	

=============================== 1 zebra³a zasób - zwiêkszenie liczebnoœci o 15%


 Tura nr 29	         1:[3,4,1150,1,16]	         2:[35,37,1150,2,11]	
 Tura nr 30	         1:[4,4,1150,1,16]	         2:[35,36,1150,2,12]	

=============================== 1 zebra³a zasób - zwiêkszenie liczebnoœci o 15%


 Tura nr 31	         1:[5,4,1322,1,17]	         2:[34,36,1150,2,13]	
 Tura nr 32	         1:[4,4,1322,1,17]	         2:[33,36,1150,2,14]	
 Tura nr 33	         1:[4,3,1322,1,17]	         2:[33,35,1150,2,15]	
 Tura nr 34	         1:[3,3,1322,1,17]	         2:[33,34,1150,2,16]	
 Tura nr 35	         1:[4,3,1322,1,17]	         2:[33,33,1150,2,17]	
 Tura nr 36	         1:[3,3,1322,1,17]	         2:[34,33,1150,2,18]	
 Tura nr 37	         1:[3,4,1322,1,17]	         2:[33,33,1150,2,18]	
 Tura nr 38	         1:[3,5,1322,1,17]	         2:[34,33,1150,2,18]	
 Tura nr 39	         1:[4,5,1322,1,17]	         2:[34,34,1150,2,19]	
 Tura nr 40	         1:[3,5,1322,1,17]	         2:[35,34,1150,2,20]	
 Tura nr 41	         1:[2,5,1322,1,17]	         2:[36,34,1150,2,21]	
 Tura nr 42	         1:[1,5,1322,1,18]	         2:[36,35,1150,2,22]	
 Tura nr 43	         1:[1,6,1322,1,19]	         2:[36,34,1150,2,22]	
 Tura nr 44	         1:[1,5,1322,1,19]	         2:[36,33,1150,2,23]	
 Tura nr 45	         1:[2,5,1322,1,19]	         2:[37,33,1150,2,24]	
 Tura nr 46	         1:[2,6,1322,1,20]	         2:[38,33,1150,2,25]	
 Tura nr 47	         1:[1,6,1322,1,20]	         2:[39,33,1150,2,26]	
 Tura nr 48	         1:[1,5,1322,1,20]	         2:[39,34,1150,2,27]	

=============================== 1 zebra³a zasób - zwiêkszenie liczebnoœci o 15%


 Tura nr 49	         1:[1,4,1520,1,21]	         2:[39,33,1150,2,27]	
 Tura nr 50	         1:[2,4,1520,1,22]	         2:[38,33,1150,2,27]	
 Tura nr 51	         1:[1,4,1520,1,22]	         2:[38,32,1150,2,28]	
 Tura nr 52	         1:[1,3,1520,1,23]	         2:[37,32,1150,2,29]	
 Tura nr 53	         1:[2,3,1520,1,23]	         2:[36,32,1150,2,30]	
 Tura nr 54	         1:[3,3,1520,1,23]	         2:[35,32,1150,2,31]	
 Tura nr 55	         1:[3,2,1520,1,23]	         2:[35,33,1150,2,32]	
 Tura nr 56	         1:[2,2,1520,1,23]	         2:[34,33,1150,2,32]	
 Tura nr 57	         1:[2,3,1520,1,23]	         2:[35,33,1150,2,32]	
 Tura nr 58	         1:[2,4,1520,1,23]	         2:[36,33,1150,2,32]	
 Tura nr 59	         1:[1,4,1520,1,23]	         2:[35,33,1150,2,32]	
 Tura nr 60	         1:[0,4,1520,1,24]	         2:[36,33,1150,2,32]	
 Tura nr 61	         1:[0,3,1520,1,25]	         2:[36,32,1150,2,32]	
 Tura nr 62	         1:[0,2,1520,1,26]	         2:[36,31,1150,2,33]	
 Tura nr 63	         1:[1,2,1520,1,26]	         2:[36,30,1150,2,34]	

=============================== 2 zebra³a zasób - zwiêkszenie obra¿eñ o 15%


 Tura nr 64	         1:[2,2,1520,1,26]	         2:[37,30,1150,2,35]	
 Tura nr 65	         1:[3,2,1520,1,26]	         2:[37,31,1150,2,36]	
 Tura nr 66	         1:[3,1,1520,1,26]	         2:[37,32,1150,2,36]	
 Tura nr 67	         1:[2,1,1520,1,26]	         2:[38,32,1150,2,36]	
 Tura nr 68	         1:[3,1,1520,1,26]	         2:[38,33,1150,2,36]	
 Tura nr 69	         1:[4,1,1520,1,26]	         2:[38,34,1150,2,37]	
 Tura nr 70	         1:[4,2,1520,1,26]	         2:[37,34,1150,2,38]	
 Tura nr 71	         1:[4,3,1520,1,26]	         2:[37,33,1150,2,38]	
 Tura nr 72	         1:[3,3,1520,1,26]	         2:[38,33,1150,2,38]	
 Tura nr 73	         1:[2,3,1520,1,26]	         2:[38,34,1150,2,38]	
 Tura nr 74	         1:[2,2,1520,1,26]	         2:[38,35,1150,2,39]	
 Tura nr 75	         1:[2,3,1520,1,26]	         2:[37,35,1150,2,40]	
 Tura nr 76	         1:[2,2,1520,1,26]	         2:[36,35,1150,2,40]	
 Tura nr 77	         1:[2,3,1520,1,26]	         2:[37,35,1150,2,40]	
 Tura nr 78	         1:[2,4,1520,1,26]	         2:[36,35,1150,2,40]	
 Tura nr 79	         1:[2,3,1520,1,26]	         2:[36,36,1150,2,41]	
 Tura nr 80	         1:[2,2,1520,1,26]	         2:[35,36,1150,2,41]	
 Tura nr 81	         1:[1,2,1520,1,26]	         2:[34,36,1150,2,41]	
 Tura nr 82	         1:[1,1,1520,1,27]	         2:[34,35,1150,2,42]	
 Tura nr 83	         1:[1,2,1520,1,27]	         2:[34,34,1150,2,42]	
 Tura nr 84	         1:[0,2,1520,1,27]	         2:[33,34,1150,2,42]	
 Tura nr 85	         1:[0,1,1520,1,28]	         2:[34,34,1150,2,42]	
 Tura nr 86	         1:[0,2,1520,1,28]	         2:[35,34,1150,2,42]	
 Tura nr 87	         1:[1,2,1520,1,28]	         2:[36,34,1150,2,42]	
 Tura nr 88	         1:[1,1,1520,1,28]	         2:[36,35,1150,2,42]	
 Tura nr 89	         1:[1,2,1520,1,28]	         2:[36,34,1150,2,42]	
 Tura nr 90	         1:[0,2,1520,1,28]	         2:[35,34,1150,2,42]	
 Tura nr 91	         1:[0,3,1520,1,28]	         2:[34,34,1150,2,42]	
 Tura nr 92	         1:[0,2,1520,1,28]	         2:[33,34,1150,2,42]	
 Tura nr 93	         1:[0,1,1520,1,28]	         2:[33,35,1150,2,42]	
